Datetime,Mud Pump A,React 55 Mud Flow to Mud Pump A,MUD PUMP A SUCTION PRESS,MUD PUMP A SPEED,MUD PUMP A SPEED,PUM-34A- Current,Mud pump A speed,MUD PUMP A CYLINDER 2,MUD PUMP A CYLINDER 3,Mud Pump A Cylinder #1 Temperature,Mud Pump A Cylinder #2 Temperature,Mud Pump A Cylinder #3 Temperature,Mud Pump A Cylinder #4 Temperature
03-Sep-24 00:00:00,RUN,105.13,387.84,42.00,99.40,262.89,41.45,6773.16,6795.82,62.21,52.91,59.37,57.87
03-Sep-24 01:00:00,RUN,145.44,434.91,42.05,99.32,268.08,41.45,7006.63,7035.89,61.64,51.34,59.75,58.15
03-Sep-24 02:00:00,RUN,140.59,424.09,41.96,99.47,265.45,41.45,6818.97,6843.67,61.43,52.12,60.37,58.98
03-Sep-24 03:00:00,RUN,148.38,423.87,42.01,99.36,270.20,41.45,6922.45,6951.88,61.10,49.37,59.97,58.11
03-Sep-24 04:00:00,RUN,140.21,425.91,41.95,99.50,269.51,41.45,6925.41,6958.68,61.52,50.28,61.68,58.28
03-Sep-24 05:00:00,RUN,126.53,417.55,41.98,99.42,268.86,41.45,7083.23,7103.40,62.94,54.89,62.06,59.35
03-Sep-24 06:00:00,RUN,143.86,421.90,41.94,99.51,263.31,41.45,6811.36,6838.85,62.41,52.82,61.63,57.94
03-Sep-24 07:00:00,RUN,141.08,428.57,41.95,99.48,273.03,41.45,7062.18,7090.32,62.82,54.09,61.89,59.77
03-Sep-24 08:00:00,RUN,74.58,290.32,21.79,52.59,262.31,41.45,6064.27,6091.09,60.37,52.25,58.81,56.88
03-Sep-24 09:00:00,RUN,90.71,408.78,40.66,96.55,271.17,41.45,7410.19,7427.33,60.76,51.53,60.38,58.04
03-Sep-24 10:00:00,RUN,130.04,412.79,41.99,99.40,264.54,41.45,6910.16,6939.46,62.05,52.91,61.23,58.84
