Datetime,Mud Pump B,MUD PUMP B SLEECTED PRESSURE,MUD PUMP B SPEED,MUD PUMP B SPEED,Mud Pump B Current,MUD PUMP B SPEED,MUD PUMP B CYLINDER 1,MUD PUMP B CYLINDER 3,Mud Pump B Cylinder #1 Temperature,Mud Pump B Cylinder #2 Temperature,Mud Pump B Cylinder #3 Temperature,Mud Pump B Cylinder #4 Temperature
03-Sep-24 00:00:00,RUN,6803.47,41.92,99.17,32.06,41.92,6910.42,6847.71,52.75,48.63,59.89,46.25
03-Sep-24 01:00:00,RUN,7042.43,41.88,99.21,32.93,41.88,7148.24,7089.49,50.40,44.44,59.48,44.47
03-Sep-24 02:00:00,RUN,6846.34,42.20,98.95,29.46,42.20,6954.51,6895.80,50.53,44.12,59.56,44.06
03-Sep-24 03:00:00,RUN,6943.65,41.85,99.23,31.20,41.85,7060.83,6998.97,50.74,44.42,60.18,45.22
03-Sep-24 04:00:00,RUN,6954.20,42.29,98.88,31.65,42.29,7071.47,7010.40,51.88,45.93,60.76,45.41
03-Sep-24 05:00:00,RUN,7097.89,42.07,99.06,29.60,42.07,7219.08,7153.72,53.39,48.69,61.05,44.60
03-Sep-24 06:00:00,RUN,6838.01,41.82,99.25,31.67,41.82,6943.74,6882.46,51.31,45.44,60.50,44.73
03-Sep-24 07:00:00,RUN,7095.66,42.12,99.01,35.34,42.12,7199.25,7146.46,51.91,46.57,61.11,45.19
03-Sep-24 08:00:00,RUN,6083.85,25.78,59.96,28.37,25.78,6155.35,6099.42,49.88,43.52,59.32,45.03
03-Sep-24 09:00:00,RUN,7430.71,41.15,96.64,35.05,41.15,7556.77,7492.80,50.78,45.40,59.17,44.14
03-Sep-24 10:00:00,RUN,6941.37,41.78,99.29,31.66,41.78,7041.47,6994.41,52.00,46.51,59.84,44.34
03-Sep-24 11:00:00,RUN,6050.59,30.42,71.55,31.08,30.42,6157.86,6096.63,52.16,46.77,60.09,45.68
03-Sep-24 12:00:00,RUN,7336.70,42.07,99.05,29.53,42.07,7439.52,7387.33,53.20,48.79,60.10,45.87
03-Sep-24 13:00:00,RUN,6849.79,41.78,99.28,31.25,41.78,6968.38,6906.00,53.27,48.22,60.41,45.15
03-Sep-24 14:00:00,RUN,7005.76,42.03,99.08,33.50,42.03,7128.21,7060.41,52.61,47.12,59.97,45.40
03-Sep-24 15:00:00,RUN,6830.31,42.18,98.95,31.55,42.18,6944.29,6871.94,53.92,49.20,59.83,45.81
03-Sep-24 16:00:00,RUN,7019.26,42.00,99.10,31.40,42.00,7139.29,7070.84,53.46,48.92,60.53,45.54
03-Sep-24 17:00:00,RUN,7022.79,42.18,98.97,32.05,42.18,7130.81,7069.54,53.73,48.78,60.68,45.69
03-Sep-24 18:00:00,RUN,6964.26,42.17,98.96,31.94,42.17,7087.79,7016.09,54.21,50.11,61.22,46.02
03-Sep-24 19:00:00,RUN,6601.84,41.79,99.27,28.87,41.79,6699.60,6641.03,53.83,49.71,61.05,45.73
03-Sep-24 20:00:00,RUN,5664.09,41.85,99.15,28.18,41.85,5757.04,5704.44,52.69,48.36,59.77,44.93
03-Sep-24 21:00:00,RUN,5836.42,39.89,93.69,28.95,39.89,5938.87,5882.05,52.54,48.56,59.65,45.06
03-Sep-24 22:00:00,RUN,7215.65,42.14,98.99,31.88,42.14,7340.40,7267.89,52.99,48.42,59.60,44.67
03-Sep-24 23:00:00,RUN,6700.48,42.11,99.02,31.71,42.11,6796.08,6745.37,53.13,49.20,60.76,44.55
04-Sep-24 00:00:00,RUN,7201.28,42.11,99.01,34.59,42.11,7320.58,7251.49,53.78,50.32,60.87,45.07
04-Sep-24 01:00:00,RUN,6966.73,42.12,99.01,31.73,42.12,7084.25,7017.89,52.85,49.03,60.78,44.65
04-Sep-24 02:00:00,RUN,6920.16,42.01,99.10,31.61,42.01,7025.43,6968.39,52.96,49.08,60.72,44.26
04-Sep-24 03:00:00,RUN,6924.58,42.03,99.09,32.63,42.03,7024.50,6969.61,53.15,48.71,60.49,44.88
04-Sep-24 04:00:00,RUN,6961.87,41.75,99.31,31.81,41.75,7067.40,7004.87,52.76,48.23,60.59,44.64
04-Sep-24 05:00:00,RUN,7180.22,42.06,99.06,34.80,42.06,7296.13,7234.13,53.11,49.00,60.51,44.75
04-Sep-24 06:00:00,RUN,6685.59,41.84,99.24,33.17,41.84,6787.30,6735.15,53.26,49.22,60.85,45.09
04-Sep-24 07:00:00,RUN,7266.08,41.92,99.17,33.82,41.92,7370.51,7311.19,53.01,49.07,60.52,44.92
04-Sep-24 08:00:00,RUN,6744.04,42.07,99.03,29.65,42.07,6842.38,6780.45,51.45,46.17,59.90,44.47
04-Sep-24 09:00:00,RUN,5416.74,29.44,69.83,28.35,29.44,5458.16,5408.17,49.97,44.47,58.92,44.44
04-Sep-24 10:00:00,RUN,7689.77,42.20,99.02,32.23,42.20,7805.55,7733.98,51.51,45.09,59.69,44.19
04-Sep-24 11:00:00,RUN,6157.34,41.83,99.21,27.23,41.83,6266.24,6204.08,53.33,49.01,60.29,45.62
04-Sep-24 12:00:00,RUN,6205.49,42.02,99.08,30.92,42.02,6301.79,6243.12,53.34,48.90,60.46,45.60
04-Sep-24 13:00:00,RUN,5815.31,40.44,94.65,30.07,40.44,5891.83,5833.49,53.24,48.91,60.06,45.61
04-Sep-24 14:00:00,RUN,5706.74,29.00,68.59,32.30,29.00,5800.36,5739.58,51.94,46.48,58.66,44.11
04-Sep-24 15:00:00,RUN,5610.13,39.32,92.57,26.59,39.32,5704.60,5643.33,52.53,47.78,59.43,44.70
04-Sep-24 16:00:00,RUN,6556.69,41.94,99.07,31.58,41.94,6662.31,6605.60,52.24,47.80,59.07,43.99
04-Sep-24 17:00:00,RUN,6279.50,37.54,88.15,25.80,37.54,6353.83,6303.63,51.71,46.72,59.33,44.00
04-Sep-24 18:00:00,RUN,6213.48,34.03,80.63,25.41,34.03,6289.95,6243.67,51.63,47.49,59.14,44.01
04-Sep-24 19:00:00,RUN,6815.20,41.80,99.15,33.36,41.80,6889.85,6831.82,51.61,46.97,59.97,44.90
04-Sep-24 20:00:00,RUN,6716.36,42.19,98.95,32.29,42.19,6796.94,6741.08,51.84,46.05,60.45,45.35
04-Sep-24 21:00:00,RUN,6757.06,41.96,99.13,30.41,41.96,6840.29,6794.29,52.25,47.07,59.63,44.50
04-Sep-24 22:00:00,RUN,6659.80,41.98,99.11,32.77,41.98,6729.78,6689.04,53.41,48.81,60.40,45.29
04-Sep-24 23:00:00,RUN,7076.85,42.02,99.09,33.66,42.02,7205.40,7136.55,51.86,48.14,59.64,44.34
05-Sep-24 00:00:00,RUN,6982.55,41.87,99.19,32.47,41.87,7082.76,7029.22,51.50,46.50,59.59,43.59
05-Sep-24 01:00:00,RUN,6886.02,42.04,99.06,29.81,42.04,6971.83,6916.08,51.62,47.20,59.23,44.05
05-Sep-24 02:00:00,RUN,7116.23,42.04,99.06,31.72,42.04,7224.16,7156.58,52.53,47.02,59.83,44.18
05-Sep-24 03:00:00,RUN,6984.06,41.86,99.21,34.52,41.86,7106.56,7039.27,52.86,45.29,59.79,43.81
05-Sep-24 04:00:00,RUN,6910.74,42.23,98.92,31.61,42.23,7035.78,6970.46,52.73,44.68,59.64,43.48
05-Sep-24 05:00:00,RUN,6929.48,42.10,98.99,31.09,42.10,6998.12,6959.60,52.98,47.13,58.83,42.48
05-Sep-24 06:00:00,RUN,7177.05,42.30,98.86,32.00,42.30,7293.77,7210.99,51.66,46.07,59.11,42.91
05-Sep-24 07:00:00,RUN,5984.24,32.67,76.89,28.90,32.67,6059.85,6010.31,52.71,45.87,59.60,43.11
05-Sep-24 08:00:00,RUN,4414.68,28.77,67.18,24.61,28.77,4456.99,4392.58,51.05,45.19,57.68,42.49
05-Sep-24 09:00:00,RUN,3733.57,35.84,84.33,23.43,35.84,3780.60,3740.27,50.76,45.32,57.22,41.41
05-Sep-24 10:00:00,RUN,3926.73,36.13,85.18,24.04,36.13,3980.85,3938.55,50.01,43.33,56.77,42.01
05-Sep-24 11:00:00,RUN,7794.75,39.27,93.45,31.34,39.27,7920.13,7861.19,51.25,44.87,57.77,43.03
05-Sep-24 12:00:00,RUN,5516.72,36.31,86.25,29.40,36.31,5580.55,5525.21,52.37,46.10,58.83,43.84
05-Sep-24 13:00:00,RUN,6064.19,35.53,84.31,28.48,35.53,6165.97,6104.28,52.18,45.32,58.02,44.34
